Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS
2002,2,40,Mario Kasun,C,6-10,260.0,22.0,Koln 99ers (Germany),1980 DOB,LAC to ORL,2
2001,1,2,Tyson Chandler,C,7-1,240.0,18.0,Dominguez High School (California),1982 DOB *,LAC to CHI,19
2000,1,3,Darius Miles,F,6-9,210.0,18.0,East St. Louis Senior High School (Illinois),1981 DOB *,,9
2000,1,18,Quentin Richardson,GF,6-6,223.0,20.0,DePaul,So *,,13
2000,2,30,Marko Jaric,GF,6-7,224.0,21.0,Fortituto Kontatto Bologna (Italy),1978 DOB,,8
1999,1,4,Lamar Odom,PF,6-10,230.0,19.0,Rhode Island,So *,,15
1999,2,31,Rico Hill,F,6-7,230.0,22.0,Baloncesto Fuenlabrada (Spain),1977 DOB,,1
1998,1,1,Michael Olowokandi,C,7-0,270.0,23.0,Pacific,Sr,,9
1998,1,22,Brian Skinner,FC,6-9,255.0,22.0,Baylor,Sr,,14
1997,1,14,Mo Taylor,F,6-9,265.0,20.0,Michigan,Jr *,,10
1996,1,7,Lorenzen Wright,F-C,6-11,255.0,20.0,Memphis,So *,,13
1996,2,36,Doron Sheffer,G,6-5,200.0,24.0,UConn,Sr,LAC to POR,0
1995,1,2,Antonio McDyess,F,6-9,245.0,20.0,Alabama,So *,LAC to DEN,16
1995,2,53,Constantin Popa,C,7-3,235.0,24.0,Miami (FL),Sr,,1
1994,1,7,Lamond Murray,SF,6-7,236.0,21.0,California,Jr *,,12
1994,1,25,Greg Minor,F,6-6,210.0,22.0,Louisville,Sr,LAC to IND,7
